"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"633","10719",12,22,66,18,0,1.8,44.2,195.8,8.3,"WGS84",45.958678,2.215166,"E20","8","U111","8","mineral","FRANCE"
"634","10720",25,30,45,36.8,0,2.8,0,111.3,5.5,"WGS84",45.742532,2.47848,"C30","8","U120","8","mineral","FRANCE"
"635","10721",25,27,48,51.5,3,4.3,111.3,362.9,25.3,"WGS84",46.376781,1.997418,"E20","8","U111","8","mineral","FRANCE"
"636","10722",12,22,66,39.6,0,2.9,70.6,326.4,6,"WGS84",46.207976,1.683831,"B11","8","U111","8","mineral","FRANCE"
"637","10723",17,32,51,10,0,1.1,15.2,112,7.5,"WGS84",46.219831,1.603721,"B11","8","U111","8","mineral","FRANCE"
"638","10724",12,23,66,9.2,0,1.1,17.1,45.8,5.3,"WGS84",46.155961,1.483484,"E10","8","U111","8","mineral","FRANCE"
"639","10725",19,24,57,62.3,1,3.5,22.1,116.9,7.8,"WGS84",46.10666,1.777581,"C10","8","U400","8","mineral","FRANCE"
"640","10726",17,49,34,26.2,1,2.4,80.6,208,9.8,"WGS84",48.499393,-1.071358,"B11","8","U111","8","mineral","FRANCE"
"641","10728",15,72,13,31.9,1,3.2,50.7,247.5,9.4,"WGS84",48.393688,-0.856468,"E20","8","U111","8","mineral","FRANCE"
"642","10729",15,64,20,27.9,0,2.8,75.1,115.9,8.6,"WGS84",48.400851,-0.967396,"E20","8","U111","8","mineral","FRANCE"
"643","10730",28,57,15,20.6,0,2.5,48.4,200.6,14.5,"WGS84",48.340916,-0.653908,"B18","8","U111","8","mineral","FRANCE"
"644","10731",14,34,52,32,0,2.7,23.9,68.6,5.7,"WGS84",46.394849,1.759308,"E20","8","U111","8","mineral","FRANCE"
"645","10732",23,30,47,35.4,3,3.6,11.8,373.1,9.5,"WGS84",46.337106,1.95115,"E20","8","U111","8","mineral","FRANCE"
"646","10733",19,35,46,25.1,0,1.9,0,148.3,5,"WGS84",46.223398,2.124643,"E20","8","U111","8","mineral","FRANCE"
"647","10734",16,29,55,49.4,0,4.1,34.4,422.9,10.6,"WGS84",46.263555,1.936191,"E20","8","U111","8","mineral","FRANCE"
"648","10735",25,32,43,17.6,0,1.5,0,112.2,4.2,"WGS84",46.393936,2.230111,"B13","8","U111","8","mineral","FRANCE"
"649","10736",14,29,58,12.4,0,1.3,47.1,154.6,5.8,"WGS84",46.326093,2.292223,"E30","8","U112","8","mineral","FRANCE"
"650","10737",9,22,69,12.9,0,1.3,55,58.4,4.2,"WGS84",46.334583,2.160455,"E20","8","U111","8","mineral","FRANCE"
"651","10738",19,25,56,28,0,2.9,22.5,82.5,10.4,"WGS84",46.252608,2.276758,"E20","8","U111","8","mineral","FRANCE"
